source_id,dt,costs
1,01/06/2017,75.2
1,02/06/2017,62.25
1,03/06/2017,36.53
1,04/06/2017,55
1,05/06/2017,57.08
1,06/06/2017,40.39
1,07/06/2017,40.59
1,08/06/2017,56.63
1,09/06/2017,40.16
1,10/06/2017,43.24
1,11/06/2017,21.68
1,12/06/2017,27.48
1,13/06/2017,44.66
1,14/06/2017,30.7
1,15/06/2017,39.71
1,16/06/2017,39.1
1,17/06/2017,21.41
1,18/06/2017,50.04
1,19/06/2017,25.08
1,20/06/2017,25.37
1,21/06/2017,22.6
1,22/06/2017,21.68
1,23/06/2017,28.6
1,24/06/2017,10.72
1,25/06/2017,22.03
1,26/06/2017,31.91
1,27/06/2017,47.73
1,28/06/2017,38.48
1,29/06/2017,32.58
1,30/06/2017,36.98
1,01/07/2017,5.8
1,02/07/2017,27.99
1,03/07/2017,21.56
1,04/07/2017,37.63
1,05/07/2017,22.11
1,06/07/2017,23.32
1,07/07/2017,47.25
1,08/07/2017,32.26
1,09/07/2017,54.94
1,10/07/2017,30.69
1,11/07/2017,24.08
1,12/07/2017,53.53
1,13/07/2017,34.52
1,14/07/2017,63.52
1,15/07/2017,52.47
1,16/07/2017,34.02
1,17/07/2017,90.87
1,18/07/2017,54.31
1,19/07/2017,46.85
1,20/07/2017,28.46
1,21/07/2017,36.25
1,22/07/2017,20.98
1,23/07/2017,28.1
1,24/07/2017,48.58
1,25/07/2017,13.31
1,26/07/2017,27.38
1,27/07/2017,9.92
1,28/07/2017,23.5
1,29/07/2017,12.6
1,30/07/2017,34.96
1,31/07/2017,31.12
1,01/08/2017,44.65
1,02/08/2017,25.47
1,03/08/2017,19.96
1,04/08/2017,23.08
1,05/08/2017,26.49
1,06/08/2017,13.21
1,07/08/2017,27.78
1,08/08/2017,33.71
1,09/08/2017,19.67
1,10/08/2017,32.73
1,11/08/2017,29.93
1,12/08/2017,16.04
1,13/08/2017,17.01
1,14/08/2017,45.75
1,15/08/2017,34.63
1,16/08/2017,22.07
1,17/08/2017,50.77
1,18/08/2017,31.57
1,19/08/2017,23.2
1,20/08/2017,37.04
1,21/08/2017,25.09
1,22/08/2017,32.48
1,23/08/2017,22.42
1,24/08/2017,33.88
1,25/08/2017,26.18
1,26/08/2017,30.38
1,27/08/2017,46.25
1,28/08/2017,50.07
1,29/08/2017,28.25
1,30/08/2017,43.79
1,31/08/2017,38.26
1,01/09/2017,40.28
1,02/09/2017,26.16
1,03/09/2017,24.95
1,04/09/2017,36.48
1,05/09/2017,48.53
1,06/09/2017,61.1
1,07/09/2017,29.06
1,08/09/2017,53.66
1,09/09/2017,41.98
1,10/09/2017,22.83
1,11/09/2017,48.02
1,12/09/2017,31.75
1,13/09/2017,49.61
1,14/09/2017,54.86
1,15/09/2017,49.8
1,16/09/2017,30.24
1,17/09/2017,45.97
1,18/09/2017,61.06
1,19/09/2017,45.41
1,20/09/2017,75.74
1,21/09/2017,55.05
1,22/09/2017,58.6
1,23/09/2017,18.34
1,24/09/2017,31.84
1,25/09/2017,86.61
1,26/09/2017,68.59
1,27/09/2017,86.83
1,28/09/2017,75.52
1,29/09/2017,84.04
1,30/09/2017,59.1
1,01/10/2017,57.14
1,02/10/2017,86.51
1,03/10/2017,78.73
1,04/10/2017,90.78
1,05/10/2017,85.21
1,06/10/2017,76.57
1,07/10/2017,72.02
1,08/10/2017,42.54
1,09/10/2017,89.25
1,10/10/2017,56.04
1,11/10/2017,63.58
1,12/10/2017,106.59
1,13/10/2017,78.87
1,14/10/2017,55.8
